date,putt_#,order,dagger,luna,caltrop
10/19/21,1,LDC,0,1,1
10/19/21,2,LDC,0,0,0
10/19/21,3,CDL,1,0,1
10/19/21,4,CLD,1,1,0
10/19/21,5,DLC,1,1,0
10/19/21,6,DLC,0,0,0
10/19/21,7,CDL,0,0,0
10/19/21,8,DLC,1,0,1
10/19/21,9,LDC,0,0,1
10/19/21,10,DCL,1,0,1
10/20/21,1,DCL,0,0,1
10/20/21,2,DCL,1,1,0
10/20/21,3,CLD,1,0,0
10/20/21,4,CDL,1,0,0
10/20/21,5,DCL,0,0,0
10/20/21,6,LCD,0,1,0
10/20/21,7,LDC,0,1,0
10/20/21,8,CLD,1,0,0
10/20/21,9,LCD,0,0,1
10/20/21,10,CDL,0,0,0
10/21/21,1,CDL,0,0,1
10/21/21,2,LCD,0,1,0
10/21/21,3,DLC,1,1,0
10/21/21,4,DCL,1,0,1
10/21/21,5,CLD,0,1,1
10/21/21,6,LCD,0,0,1
10/21/21,7,LDC,0,0,0
10/21/21,8,CDL,1,0,1
10/21/21,9,LCD,1,0,1
10/21/21,10,DLC,0,1,1
10/22/21,1,DLC,0,0,0
10/22/21,2,CDL,1,0,1
10/22/21,3,LCD,0,0,1
10/22/21,4,DLC,0,0,0
10/22/21,5,DCL,1,0,0
10/22/21,6,DLC,0,0,1
10/22/21,7,CDL,0,0,1
10/22/21,8,CLD,1,0,0
10/22/21,9,CLD,1,0,1
10/22/21,10,CLD,1,0,1
10/23/21,1,LCD,1,0,1
10/23/21,2,DCL,0,0,1
10/23/21,3,DCL,0,0,0
10/23/21,4,CLD,0,0,1
10/23/21,5,LCD,1,0,1
10/23/21,6,CDL,1,1,0
10/23/21,7,CDL,1,0,0
10/23/21,8,LCD,0,0,0
10/23/21,9,CLD,1,0,0
10/23/21,10,CDL,1,1,1
10/24/21,1,LDC,0,1,1
10/24/21,2,CLD,1,1,1
10/24/21,3,CDL,0,0,0
10/24/21,4,CLD,0,1,0
10/24/21,5,LDC,0,1,1
10/24/21,6,LDC,0,0,0
10/24/21,7,LCD,1,0,1
10/24/21,8,LCD,1,0,0
10/24/21,9,DLC,1,0,0
10/24/21,10,CDL,1,1,1
10/25/21,1,CDL,0,0,0
10/25/21,2,LDC,0,1,1
10/25/21,3,CLD,1,0,0
10/25/21,4,DLC,0,1,0
10/25/21,5,LDC,1,1,1
10/25/21,6,CLD,1,0,0
10/25/21,7,CLD,1,0,1
10/25/21,8,DLC,1,0,0
10/25/21,9,DLC,1,1,1
10/25/21,10,DCL,0,1,0
10/26/21,1,CDL,0,1,0
10/26/21,2,LCD,1,0,1
10/26/21,3,DLC,0,1,1
10/26/21,4,DLC,0,1,1
10/26/21,5,DCL,1,0,1
10/26/21,6,CLD,1,1,0
10/26/21,7,CLD,0,1,0
10/26/21,8,DLC,0,1,0
10/26/21,9,DCL,0,0,0
10/26/21,10,CDL,1,1,1
10/27/21,1,LDC,1,0,0
10/27/21,2,DLC,0,1,1
10/27/21,3,LDC,0,1,1
10/27/21,4,LCD,1,1,1
10/27/21,5,LDC,1,0,0
10/27/21,6,DCL,1,0,1
10/27/21,7,CDL,1,0,1
10/27/21,8,LDC,1,1,1
10/27/21,9,DLC,1,0,1
10/27/21,10,DLC,0,1,1
